"screening_id","TI","AU","PY","SO","DOI","AB","screening_decision","screening_reason","screening_notes"
11,"Long-Term Field Experiments Overview Map: An interactive open-access metadata platform to enhance networking and data reuse","Dönmez, C.; Specka, X.; Hoffmann, C.; Svoboda, N.; Blanchy, G.; Chenu, C.; Helming, K.",2026,NA,"10.1016/j.compag.2026.111534","Agricultural long-term experiments (LTEs) are infrastructures for understanding the long-term impacts of agricultural practices on soil health, crop productivity, and environmental sustainability. Some spanning over 150 years, they generate essential data on crops, fertilization, tillage, irrigation, and land management. However, the fragmented landscape of LTEs leading to data accessibility challenges have limited their full research potential. We introduce an overview map for LTEs (LTE-Map) (https://lte.bonares.de), an open-access and interactive platform that centralizes and provide valuable information (metadata) from LTEs. Developed with LTE institutions and data users, its structured model standardizes experimental and organizational data for global interoperability. It enables researchers to efficiently access LTE metadata, aligning with FAIR principles, and serves as a user-friendly gateway to key experimental and environmental information. Currently, the LTE-Map documents 688 trials globally including the earliest experiment established in 1843. While most sites are in Europe (621), more than 60 are located outside, underlining the potential for global expansion. The map shows that LTEs are predominantly focused on arable land and crop rotation studies. The LTE-Map provides a flexible framework for exploring trials, supporting both data providers and researchers based on relevant criteria. It stands as a cornerstone of data management, fosters collaboration and reuse, and has already enabled multiple studies, demonstrating its value as proof of concept for advancing experimental research. © 2026 The Author(s)","include","",""
12,"Public auditing with semantic secure data privacy for low-entropy files in cloud storage","Tan, X.; Xie, Q.; Han, L.; Wang, S.",2026,NA,"10.1016/j.cose.2026.104826","Public auditing enables a third-party auditor delegated by the data owner to efficiently verify the integrity of data outsourced to a remote server, and thus suits for numerous applications in cloud storage. By a comprehensive survey on the literature, we found that none of existing public auditing schemes provide semantic security of data privacy, namely low-entropy data cannot preserve indistinguishability against the auditor. To capture this security weakness, we define the notion public auditing with semantic secure data privacy (PA-SSDP) by a formal adversarial model to guarantee that it is impossible for the auditor to learn any non-trivial information about the data, even if the audited file has only two possible versions. Then we propose a concrete PA-SSDP scheme with two variants of provable security under the new model, which offer improved data privacy and the same level of efficiency as most of related works. Besides, our schemes support some other useful features, such as server-side deduplication, dynamic data update, and batch auditing. © 2026","exclude","I5: Domain relevance",""
13,"Scalable batch verification of ECDSA for blockchain using IVC","Liu, L.; Wei, P.; Liu, S.; Wang, Z.; Hu, D.; Kou, Z.",2026,NA,"10.1007/s11704-025-41269-5","With the rising volume of transactions on blockchains, signature verification becomes a critical bottleneck of efficiency, hindering scalability and performance. This paper presents a general approach to batch verification of arbitrary signatures on blockchain. By leveraging the memory-friendliness of incremental verifiable computation (IVC) and optimizing for blockchain environments, the proposed scheme can enhance scalability, reduce memory consumption, and ensure compatibility with common devices while supporting an arbitrary number of signature verifications. This approach allows for the concurrent generation of IVC proofs while receiving signatures from other nodes, making it particularly well-suited for low-latency blockchain applications. As a concrete instantiation of our approach, we introduce BEATS (Batch ECDSA Transaction verification Scheme), where the underlying SNARK is instantiated by Spartan with Bulletproof commitment. Our implementation, evaluated on a virtual machine with 8 cores and 16 GB RAM, shows significant performance gains compared to Spartan<inf>BP</inf>, which is the direct construction using Spartan with Bulletproof commitment to verify a batch of ECDSA. The comparison shows that BEATS speeds up the prover by 3–7 times and the verifier by 48–240 times when handling up to 211 ECDSA signatures, the maximum batch size supported by Spartan<inf>BP</inf>. For larger batches exceeding 210, our scheme outperforms the baseline approach, which verifies ECDSA signatures one by one without any proof system. Our verifier achieved a speedup of 21–174 times compared to the baseline as the batch size grows to 220. Furthermore, BEATS exhibits a remarkably low memory footprint, with peak memory usage remaining below 1 GB. © The Author(s) 2025.","exclude","I5: Domain relevance",""
14,"Unified access to interdisciplinary open data platforms: Open Science Data Network","Dang, V.-N.; Aussenac-Gilles, N.; Megdiche, I.; Ravat, F.",2026,NA,"10.1016/j.datak.2025.102552","Open Science is based on a collaborative network to develop transparent, accessible, and shared knowledge. Open Research Data Platforms (ORDPs) are deployed to fulfill the needs for data sharing of a specific community and/or scientific discipline. The high variety of research areas creates a barrier to data sharing between research entities. To enable this research data to be found by the research entities that need it, it is necessary to establish access to different ORDPs that are unknown to these research entities. The goal of this article is to provide a quantitative analysis showing the current limitations of data sharing between ORDPs in Open Science. We then propose a solution to improve data access and sharing based on theoretical foundations and an experimental approach. We propose to extend our theoretical interoperability model, which helps us to define the necessary steps to interoperate ORDPs. We present and discuss a quantitative evaluation of ORDPs’ interoperability. Based on this exploratory study, we propose a solution that enables research entities to discover unknown ORDPs, thereby facilitating access to relevant data. This solution is the Open Science Data Network (OSDN), a decentralized, distributed, and federated network of ORDPs that integrates a query propagation process and robustness features. To enable the deployment of OSDN at an Open Science scale, we designed our solution by considering its adoption cost relative to a non-organized interoperability approach. With two ORDPs integrated into the OSDN, the adoption cost is estimated to be reduced by at least 17%. This reduction approaches 100% as the number of integrated ORDPs increases. To demonstrate the feasibility of the solution, we developed a Proof of Concept (POC) and applied it to two research projects from different domains and involving distinct research communities. For the first research project, we measured a 7% increase in the volume of accessed data and an 80% reduction in the time needed to find this data. In addition, researcher from this experiment was able to formulate new intra- and interdisciplinary research questions thanks to the newly accessed data. In the second research project, we observed an increase in data volume of up to a factor of 3968. More importantly, this process led to the discovery of new essential data that was previously missing. © 2025","exclude","I4: Technical implementation",""
15,"BcFCKA:Blockchain-based Fair and continuous key agreement for DIDComm in Self-Sovereign Identity","Zhang, M.; Meng, R.; Wang, T.; Zhou, Y.; Zhao, Y.; Yang, B.; Zhang, L.",2026,NA,"10.1016/j.csi.2025.104085","Self-Sovereign Identity (SSI) is a novel identity management paradigm that empowers entities to control their own identities through agents, without relying on centralized authorities. However, the widely adopted DIDComm framework for secure communication between agents in SSI still faces several critical challenges, such as the lack of perfect forward secrecy, insufficient message loss resilience, and the absence of continuous key updates. To address these issues, we propose a blockchain-based Fair and Continuous Key Agreement (BcFCKA) primitive, which enables agents to perform fair and continuous session key updates, even in the presence of message loss and without relying on any centralized trusted entity. We further present a concrete scheme instantiation, namely BcFCX3DH, and provide both formal and informal analyses to demonstrate that our scheme achieves several security properties (e.g., known-key security and perfect forward secrecy) as well as several design goals (e.g., key pre-storage freedom and message loss resilience). In addition, simulation results show that the proposed scheme establishes the initial session key and performs key updates within only a few milliseconds, demonstrating its practicality. © © 2025. Published by Elsevier B.V.","exclude","I5: Domain relevance",""
16,"Cross-DistBlock: Blockchain-Enabled Multi-stage Flow Verification in Multi-domain Software-Defined Networks","Bargayary, B.; Medhi, N.",2026,NA,"10.1007/s10922-025-09985-2","Deploying Software-Defined Networking (SDN) across multiple administrative domains presents distinct security challenges, particularly regarding the integrity and security of flow modification requests. Furthermore, various malicious activities, including rogue controller attacks, replay attacks, and Distributed Denial of Service (DDoS) attacks, create vulnerabilities that can compromise flow integrity. To address these challenges, we propose Cross-DistBlock, a multi-stage flow verification in multi-domain SDN networks, implemented through blockchain chaincode. This method ensures that flow modification proposals undergo three security checks before a final decision is made (digital signature, selecting the non-rogue controllers, and voting consensus). The decentralized chaincode shares the security events, and an adaptive policy is installed to prevent future attacks. Cross-DistBlock dynamically adjusts controller capabilities based on real-time trust scores, ensuring that security measures are immediately enforced against suspected or rogue controllers. We conducted experiments using the private blockchain to demonstrate the feasibility of the proposed approach. The performance of our method was evaluated under various attack scenarios, such as rogue controller attacks, replay attacks, and DDoS attacks. The experimental results of Cross-DistBlock demonstrates a latency improvement of 20.49% compared to BCS, 28.15% compared to BMC-SDN, and 49.21% compared to FRChain. In contrast, the baseline method allowed DDoS attacks to persist, leading to increasing latency. Overall, our findings suggest that the proposed method effectively restricts malicious flow modification requests while maintaining minimal latency compared to other existing methods. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","exclude","I5: Domain relevance",""
17,"BLOCKCHAIN AND AI IN ART PROVENANCE TRACKING","Arsalwad, G.P.; Poonam, R.F.; Bhosale, K.S.; Gongane, A.H.; Shalini, E.; Prakash, O.",2026,NA,"10.29121/shodhkosh.v7.i1s.2026.7119","The increased digitization of the art market around the world has contributed to an enhanced demand to have dependable, transparent and tamper-proof provenance tracking systems. The conventional provenance records, which are usually sporadic, are handled by humans and institution-specific, are susceptible to forgery, loss of data, and deliberate alteration. The solution to these issues in art provenance tracking is the proposed framework in this paper that integrates Artificial Intelligence (AI) and Blockchain technologies to enhance provenance tracking. Digitized artworks using AI methods can be analyzed to produce high-level visual, material and stylistic features which can be used to assess the authenticity of artworks automatically, detect anomalies, and analyze similarities between works across large collections of art. At the same time, the Blockchain technology offers a decentralized and unchangeable registry to securely store provenance events including ownership changes, restoration histories, exhibition histories, and artificial intelligence generated authenticity scores. The suggested structure provides a smooth flow of work where AI-generated metadata and the confidence measures are hashed via hashing algorithms and anchored to the Blockchain which ensures the integrity of data, transparency, and the long-term traceability. The methodology includes the process of digitizing artwork, standardizing metadata, training models to analyze the visual data, and considerations of the Blockchain network design i.e. consensus mechanism and smart contracts. This has been demonstrated by experimental evaluation that the integrated approach greatly increases provenance reliability, decreases the effort of manual verification, and increases trust between artists, collectors, galleries, and cultural institutions. The paper critically evaluates the issues of data bias in AI models, scalability and power consumption in Blockchain systems, legal and ethical restrictions on digital ownership and privacy as well. © 2026 The Author(s).","include","",""
18,"Design and verification of a verifiable privacy-preserving cloud-IoT computing platform integrating differential privacy and edge intelligence: based on secret sharing and gradient masking mechanisms","Ding, X.; Ding, H.; Zhou, F.; X.; Wang, Q.; Lang, J.",2026,NA,"10.1088/2631-8695/ae4094","The rapid development of Cloud-IoT computing environments enables intelligent services, but raises serious privacy and trust challenges due to massive distributed data generation. This paper proposes a verifiable multi-layer privacy-preserving Cloud-IoT computing framework that integrates differential privacy, secret sharing, and gradient masking within a cloud-edge-end collaborative architecture. An adaptive differential privacy mechanism dynamically adjusts noise intensity according to data sensitivity and training dynamics, while edge intelligence supports efficient pre-aggregation and privacy measurement. Extensive experiments in a real Cloud-IoT environment with 200 terminal devices demonstrate that the proposed framework improves model convergence speed by 37.8%, reduces communication overhead by 89.1%, and decreases privacy leakage risk by up to 82.9% compared with the DP-FedAvg and SecAgg baselines. Meanwhile, it maintains 91.3% model accuracy, suppresses membership inference attack success rates to 52.1%, which is close to the random-guessing baseline (50%), indicating that the attacker’s advantage is largely suppressed. The framework introduces only 3.2% additional verification overhead through a lightweight zero-knowledge proof mechanism. These results indicate that the proposed approach effectively balances privacy protection, verifiability, and system efficiency, providing a practical solution for large-scale Cloud-IoT applications in privacy-sensitive domains such as healthcare and financial services. © 2026 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved.","exclude","E2: Non-research context",""
19,"Verification of Grid-Forming Adaptive Inertia-Damping Control Strategy for Novel Energy Storage Integrated with Photovoltaic Systems; 新型储能配合光伏并网的构网自适应惯量阻尼控制策略验证","Yi, J.; Wang, S.; Hu, W.; Huang, Q.",2026,NA,"10.19595/j.cnki.1000-6753.tces.250181","This paper focuses on the stability issues of distributed energy integration in new power systems and investigates the implementation of grid-friendly integration strategies using virtual synchronous generator (VSG) with distributed energy and energy storage systems. Considering the expansion of photovoltaic integration in China, which has led to a reduction in the inertia and stability of regional power systems, and the shortcomings of traditional grid-following inverters, the development of grid-forming photovoltaic and energy storage integration strategies is particularly critical. This paper first discusses the power control strategy of hybrid energy storage system (HESS) based on the working characteristics of optical storage hybrid VSG system and hybrid energy storage system, including constant power control of battery and constant voltage control of supercapacitor, in order to realize the efficient management of energy and the stable control of DC bus voltage. Then, by establishing the VSG active closed-loop small-signal model, the influence mechanism of VSG inertia and damping on the system power dynamic characteristics, stability and steady-state error is analyzed in depth from the perspectives of the analysis of dynamic performance indexes in the time domain, the analysis of root trajectory in the frequency domain, and the analysis of stability margin. Based on the analysis, the coordinated adaptive control strategy of inertia damping taking into account the dynamic characteristics of energy storage is proposed. Drawing on the synchronous generator power angle characteristics and the angular frequency oscillation process, the interval is divided to formulate the principle of inertia damping change, and through the introduction of hyperbolic tangent function and the inertia link to match, the design of the complete J, D adaptive control strategy makes it dynamically adjusted in accordance with the angular frequency deviation and the angular frequency rate of change in real time in order to comprehensively improve the dynamic and steady state characteristics of the distributed photovoltaic energy storage grid-connected system. Finally, a single photovoltaic-storage power generation system based on coordinated VSG adaptation was integrated into a 380 V low-voltage distribution network for testing. Multiple simulation scenarios were set up to compare the proposed strategy with traditional adaptive control strategies and the VSG underdamped control mode. The results demonstrate that the proposed strategy rapidly restores stability during load disturbances, reducing power oscillations and frequency overshoot. Under grid-side frequency disturbances, it reduces steady-state power deviation and improves the accuracy of grid-forming support power response. During grid-side voltage disturbances, the output power frequency fluctuation is minimal, and reactive power support is provided to maintain voltage stability. Under different grid strengths, the strategy effectively regulates the active damping inertia response during frequency and power fluctuations in the dispatch command response process, showing strong capability and favorable results. In summary, the proposed strategy effectively leverages the grid-forming regulation capabilities of the photovoltaic-storage integrated system, optimizes the operation of the hybrid energy storage system, and demonstrates significant application potential in emerging power systems with large-scale distributed photovoltaic integration. © 2026 China Machine Press. All rights reserved.","exclude","E1: Opinion piece",""
20,"Semantic interoperability on blockchain by generating smart contracts based on knowledge graphs","Van Woensel, W.; Seneviratne, O.",2026,NA,"10.1016/j.bcra.2025.100320","Health 3.0 enables decision-making to be based on longitudinal data from multiple institutions spanning the patient's healthcare journey. Blockchain smart contracts can act as neutral and trustworthy intermediaries to implement such decision-making. In this distributed healthcare setting, transmitted data are structured using standards, such as Health Level Seven Fast Healthcare Interoperability Resources (HL7 FHIR), for semantic interoperability. Hence, the smart contract will require interoperability with the domain standard. However, it will also have to implement a complex communication setup to work in a distributed environment (e.g., using oracles), and be developed using special-purpose blockchain languages (e.g., Solidity). To support these requirements, we propose the encoding of smart contract logic using a high-level semantic Knowledge Graph (KG), which uses concepts and relations from a domain standard and additionally lists distributed data requirements. We subsequently deploy this semantic KG on blockchain via a hybrid on-/off-chain code-generation approach. We applied our approach to generate smart contracts for three health insurance cases from Medicare. We evaluated the generated contracts in terms of correctness and execution cost (i.e., gas) on blockchain. Finally, we discuss the suitability of blockchain—and by extension, our approach—for a number of healthcare use cases. © 2025","exclude","I5: Domain relevance",""
21,"Deterministic protein structure and binding site analysis through blockchain-integrated workflow verification","Kanu, V.I.; Ajakwe, S.O.; Lee, J.M.; Kim, D.-S.",2026,NA,"10.1016/j.icte.2025.11.018","Reproducibility is a critical issue in protein structure analysis, especially in drug discovery workflows. Previous methods do not consistently produce reliable results across systems and do not provide deterministic outcomes in protein analysis. This work proposes a tri-layered blockchain-inspired architecture that leverages cryptographic metadata and capabilities to validate protonation states and guarantee deterministic results and data integrity across protein structure preparation and ensure reproducible binding site analysis. The results show 100% reproducibility with a 1745.1% performance overhead with execution time still under 11 s, enhancing data security and offering a reliable solution for computational drug discovery workflows. This system enhances confidence in computational drug discovery workflows. © © 2025. Published by Elsevier B.V.","include","",""
